"subject" "activity" "variable" "mean"
"1" "WALKING" "mean_body_acc_x" -0.00246461543157895
"1" "WALKING" "mean_body_acc_y" -0.0262632746315789
"1" "WALKING" "mean_body_acc_z" 0.00711430172631579
"1" "WALKING" "mean_body_gyro_x" 0.00747685885263158
"1" "WALKING" "mean_body_gyro_y" 0.0295496486
"1" "WALKING" "mean_body_gyro_z" -0.0102160895652632
"1" "WALKING" "mean_total_acc_x" 0.994949684210526
"1" "WALKING" "mean_total_acc_y" -0.291390246052632
"1" "WALKING" "mean_total_acc_z" -0.0642696554842105
"1" "WALKING_UPSTAIRS" "mean_body_acc_x" 0.0243625466981132
"1" "WALKING_UPSTAIRS" "mean_body_acc_y" 0.0244495247509434
"1" "WALKING_UPSTAIRS" "mean_body_acc_z" -0.0526514422641509
"1" "WALKING_UPSTAIRS" "mean_body_gyro_x" 0.0998021347169811
"1" "WALKING_UPSTAIRS" "mean_body_gyro_y" 0.384218536313208
"1" "WALKING_UPSTAIRS" "mean_body_gyro_z" -0.0386309918301887
"1" "WALKING_UPSTAIRS" "mean_total_acc_x" 0.994157505660377
"1" "WALKING_UPSTAIRS" "mean_total_acc_y" -0.313160974716981
"1" "WALKING_UPSTAIRS" "mean_total_acc_z" -0.129690924716981
"1" "WALKING_DOWNSTAIRS" "mean_body_acc_x" -0.0179729
"1" "WALKING_DOWNSTAIRS" "mean_body_acc_y" 0.0308070080857143
"1" "WALKING_DOWNSTAIRS" "mean_body_acc_z" -0.0106702723061224
"1" "WALKING_DOWNSTAIRS" "mean_body_gyro_x" -0.118727008204082
"1" "WALKING_DOWNSTAIRS" "mean_body_gyro_y" 0.0615735910204082
"1" "WALKING_DOWNSTAIRS" "mean_body_gyro_z" 0.0191197775510204
"1" "WALKING_DOWNSTAIRS" "mean_total_acc_x" 0.974830240816327
"1" "WALKING_DOWNSTAIRS" "mean_total_acc_y" -0.226580562346939
"1" "WALKING_DOWNSTAIRS" "mean_total_acc_z" -0.0816981035326531
"1" "SITTING" "mean_body_acc_x" -0.00594437001978723
"1" "SITTING" "mean_body_acc_y" 0.0164534424106383
"1" "SITTING" "mean_body_acc_z" 0.00628945031468085
"1" "SITTING" "mean_body_gyro_x" -0.0232076234938298
"1" "SITTING" "mean_body_gyro_y" -0.0166764589468085
"1" "SITTING" "mean_body_gyro_z" -0.0256845792744681
"1" "SITTING" "mean_total_acc_x" 0.92194920212766
"1" "SITTING" "mean_total_acc_y" 0.222694174468085
"1" "SITTING" "mean_total_acc_z" 0.323122504255319
"1" "STANDING" "mean_body_acc_x" 0.000779561808867925
"1" "STANDING" "mean_body_acc_y" 0.00236438743584906
"1" "STANDING" "mean_body_acc_z" 0.00092134969245283
"1" "STANDING" "mean_body_gyro_x" 0.00891729801773585
"1" "STANDING" "mean_body_gyro_y" 0.0161751360811321
"1" "STANDING" "mean_body_gyro_z" -0.0142733783603774
"1" "STANDING" "mean_total_acc_x" 1.00271977358491
"1" "STANDING" "mean_total_acc_y" -0.254536286792453
"1" "STANDING" "mean_total_acc_z" 0.00771291133962264
"1" "LAYING" "mean_body_acc_x" -0.014794166294
"1" "LAYING" "mean_body_acc_y" 0.0052455126414
"1" "LAYING" "mean_body_acc_z" -0.0031155270006
"1" "LAYING" "mean_body_gyro_x" -0.0159661675716
"1" "LAYING" "mean_body_gyro_y" 0.002071595314
